nh,clust,Own_operate_farm,Fish_process_for_sale,Operate_own_business
1,4002,1,1,2
2,4002,1,1,2
3,4002,1,2,2
4,4002,1,1,1
5,4002,1,2,1
6,4002,1,1,1
7,4002,1,2,1
8,4002,1,2,2
9,4002,1,2,1
10,4002,2,1,2
11,4002,1,1,2
12,4002,1,1,1
13,4002,1,2,2
14,4002,1,2,2
15,4002,2,2,1
16,4002,1,2,2
17,4002,1,2,2
18,4002,1,1,1
19,4002,1,1,2
20,4002,2,2,2
1,4005,1,1,1
2,4005,1,2,2
3,4005,1,2,2
4,4005,1,2,1
5,4005,1,1,1
6,4005,1,1,1
7,4005,1,1,1
8,4005,1,1,2
9,4005,1,2,1
10,4005,2,2,1
11,4005,1,1,1
12,4005,1,2,1
13,4005,1,2,1
14,4005,1,1,1
15,4005,1,1,1
16,4005,1,2,2
17,4005,1,2,2
18,4005,1,2,1
19,4005,1,1,2
20,4005,1,1,1
1,4009,1,2,2
2,4009,1,2,2
3,4009,1,1,2
4,4009,1,2,2
5,4009,1,2,1
6,4009,1,1,1
7,4009,1,1,1
8,4009,1,1,2
9,4009,1,2,2
11,4009,1,2,1
12,4009,1,1,1
13,4009,1,1,2
14,4009,1,1,2
15,4009,1,2,1
16,4009,1,1,2
17,4009,1,1,2
18,4009,1,1,2
19,4009,1,1,1
20,4009,1,1,2
21,4009,1,1,1
1,4012,1,2,2
2,4012,2,1,2
3,4012,1,2,2
5,4012,1,1,2
6,4012,1,2,1
7,4012,1,2,1
8,4012,1,2,2
9,4012,1,1,2
10,4012,1,2,2
11,4012,1,2,2
12,4012,1,2,1
13,4012,1,2,2
14,4012,1,2,2
15,4012,1,2,2
16,4012,1,2,2
17,4012,1,1,2
18,4012,1,2,1
19,4012,1,2,1
20,4012,1,2,1
1,4015,2,2,2
2,4015,2,2,1
3,4015,2,1,2
4,4015,2,2,1
5,4015,2,2,1
6,4015,2,2,2
7,4015,2,2,1
10,4015,2,2,1
11,4015,2,2,2
12,4015,2,2,1
13,4015,1,2,1
14,4015,2,2,1
15,4015,2,1,2
16,4015,2,2,1
17,4015,2,1,2
18,4015,2,2,2
19,4015,2,2,1
20,4015,2,2,1
21,4015,2,2,1
23,4015,2,2,2
1,4019,1,2,2
2,4019,2,2,2
3,4019,1,1,1
4,4019,1,2,2
5,4019,1,1,2
6,4019,1,2,2
7,4019,1,1,1
8,4019,2,2,2
9,4019,1,1,1
10,4019,1,2,1
11,4019,1,2,1
12,4019,1,2,2
13,4019,1,2,2
14,4019,2,2,1
15,4019,1,2,2
16,4019,1,2,2
17,4019,1,2,2
18,4019,1,2,1
19,4019,1,2,2
20,4019,1,2,1
1,4022,1,1,2
2,4022,1,1,1
3,4022,1,2,2
4,4022,1,1,1
5,4022,1,1,1
6,4022,1,2,1
7,4022,1,2,2
8,4022,1,2,2
9,4022,1,2,1
10,4022,1,2,1
11,4022,1,2,1
12,4022,1,2,2
13,4022,1,2,1
14,4022,1,2,2
15,4022,1,2,2
16,4022,1,2,1
17,4022,1,2,1
18,4022,1,2,2
19,4022,1,1,1
20,4022,1,1,2
1,4025,1,2,2
2,4025,1,1,2
3,4025,1,1,2
4,4025,2,2,2
5,4025,2,2,1
6,4025,1,1,2
7,4025,1,2,1
8,4025,2,1,1
9,4025,2,2,1
10,4025,1,2,1
11,4025,2,2,1
12,4025,2,2,1
13,4025,1,2,2
14,4025,1,2,2
15,4025,2,1,1
16,4025,2,2,2
17,4025,2,1,2
18,4025,2,2,1
19,4025,2,1,1
20,4025,2,2,1
1,4029,1,2,1
2,4029,1,1,2
3,4029,1,1,2
4,4029,1,1,1
5,4029,1,1,1
6,4029,2,2,1
7,4029,1,1,2
8,4029,1,1,1
9,4029,2,2,2
10,4029,1,1,2
11,4029,1,1,1
12,4029,1,1,2
13,4029,1,2,2
14,4029,1,1,1
15,4029,1,1,1
16,4029,1,1,2
17,4029,2,2,2
18,4029,2,2,1
19,4029,1,1,2
20,4029,2,2,2
1,4032,1,1,2
2,4032,1,2,2
3,4032,1,1,1
4,4032,1,1,1
5,4032,1,2,2
6,4032,1,2,2
7,4032,1,1,1
8,4032,1,2,1
9,4032,1,2,1
10,4032,1,1,1
11,4032,1,2,2
12,4032,1,1,1
13,4032,1,1,2
14,4032,1,1,2
15,4032,1,1,1
16,4032,1,1,1
17,4032,1,2,1
18,4032,2,2,2
19,4032,1,2,1
20,4032,1,2,1
1,4035,1,2,2
2,4035,1,2,1
3,4035,1,2,2
4,4035,1,2,1
5,4035,2,2,2
6,4035,1,2,2
7,4035,2,2,2
8,4035,1,1,2
9,4035,1,1,2
10,4035,1,2,2
11,4035,1,1,2
12,4035,1,2,2
13,4035,1,2,2
14,4035,1,2,1
15,4035,1,1,1
16,4035,1,1,1
17,4035,1,1,1
18,4035,1,2,1
19,4035,1,2,2
20,4035,1,1,2
1,4039,2,2,2
2,4039,1,2,2
3,4039,1,1,1
4,4039,1,1,1
5,4039,1,2,1
6,4039,1,1,1
7,4039,1,2,1
8,4039,1,2,2
9,4039,1,2,1
10,4039,1,2,1
11,4039,1,1,2
12,4039,1,1,2
13,4039,1,2,1
14,4039,1,2,1
15,4039,1,2,1
16,4039,1,2,1
17,4039,1,1,2
18,4039,1,2,2
19,4039,1,2,1
20,4039,1,2,1
1,4042,1,2,1
2,4042,1,2,1
3,4042,1,1,1
4,4042,1,2,2
5,4042,1,2,1
6,4042,1,1,1
7,4042,2,2,2
9,4042,1,2,1
10,4042,1,2,1
11,4042,1,2,1
12,4042,2,2,1
13,4042,1,1,1
14,4042,1,2,2
15,4042,1,2,1
16,4042,1,2,1
17,4042,1,2,2
18,4042,1,2,2
19,4042,1,2,2
20,4042,1,2,1
21,4042,1,2,2
1,4044,1,1,2
2,4044,1,1,2
3,4044,2,1,1
4,4044,1,1,2
5,4044,1,1,2
6,4044,1,1,2
7,4044,2,1,2
8,4044,1,1,1
9,4044,1,1,2
10,4044,1,1,1
11,4044,1,1,2
12,4044,1,1,2
13,4044,1,1,2
14,4044,1,1,2
15,4044,1,1,2
16,4044,1,1,2
17,4044,1,1,1
18,4044,1,1,2
19,4044,1,1,1
20,4044,1,1,2
1,4049,1,2,1
2,4049,1,2,2
3,4049,1,2,2
4,4049,1,1,2
5,4049,1,2,1
6,4049,1,2,1
7,4049,1,2,1
8,4049,1,2,1
9,4049,1,2,1
10,4049,1,1,1
11,4049,1,1,1
12,4049,1,2,1
13,4049,1,2,1
14,4049,1,2,2
15,4049,1,2,1
16,4049,1,2,1
17,4049,1,1,1
18,4049,1,1,1
19,4049,1,2,1
20,4049,1,1,1
1,4052,2,2,1
2,4052,2,1,2
3,4052,2,1,1
4,4052,2,2,2
5,4052,2,2,1
6,4052,2,2,1
7,4052,2,1,2
8,4052,2,2,2
9,4052,2,2,1
10,4052,2,2,1
11,4052,2,1,1
12,4052,2,2,1
13,4052,2,2,2
14,4052,2,2,2
15,4052,2,2,1
16,4052,2,2,1
17,4052,2,2,1
18,4052,1,2,2
19,4052,2,2,1
20,4052,2,2,1
1,4055,1,1,1
2,4055,1,1,2
3,4055,1,1,2
4,4055,1,1,2
5,4055,1,1,2
6,4055,1,1,2
7,4055,2,2,2
8,4055,1,1,2
9,4055,1,1,2
10,4055,1,1,2
11,4055,1,1,1
12,4055,1,1,2
13,4055,1,1,2
14,4055,1,1,2
15,4055,1,1,1
17,4055,2,1,1
18,4055,1,1,2
19,4055,1,1,2
20,4055,1,1,1
25,4055,1,1,2
1,4059,1,1,2
2,4059,1,1,1
3,4059,1,1,2
4,4059,2,1,2
5,4059,2,2,1
6,4059,2,2,1
7,4059,1,2,1
8,4059,1,1,1
9,4059,1,2,2
10,4059,1,2,2
11,4059,1,1,1
12,4059,2,2,2
13,4059,2,2,1
14,4059,1,1,2
15,4059,1,1,1
16,4059,1,1,1
17,4059,2,1,2
18,4059,2,2,2
19,4059,2,2,1
20,4059,2,2,1
1,4062,1,2,1
2,4062,1,1,1
3,4062,1,1,2
4,4062,2,2,1
5,4062,2,2,1
6,4062,1,1,1
7,4062,1,1,1
8,4062,1,2,1
9,4062,2,2,2
10,4062,1,2,1
11,4062,1,1,2
12,4062,1,1,2
13,4062,2,2,1
14,4062,1,2,1
15,4062,1,1,2
16,4062,1,1,2
17,4062,1,1,2
18,4062,2,2,2
19,4062,1,1,1
20,4062,1,1,1
1,4065,1,1,2
2,4065,1,1,2
3,4065,1,1,1
5,4065,1,1,2
6,4065,1,1,2
7,4065,1,1,2
8,4065,1,1,2
9,4065,1,1,2
10,4065,1,1,1
11,4065,1,1,1
13,4065,1,1,2
14,4065,1,1,2
15,4065,1,1,2
16,4065,1,1,2
17,4065,1,1,1
18,4065,2,2,2
19,4065,2,2,2
20,4065,1,1,2
21,4065,1,1,1
23,4065,1,1,1
1,4069,1,1,1
2,4069,1,1,1
3,4069,1,1,2
4,4069,1,1,1
5,4069,1,1,1
6,4069,1,1,1
7,4069,1,1,1
8,4069,1,1,1
9,4069,1,1,1
10,4069,1,1,1
11,4069,1,1,2
12,4069,1,1,1
13,4069,1,1,2
14,4069,1,1,1
15,4069,1,1,2
16,4069,1,1,1
17,4069,1,1,2
18,4069,1,1,2
19,4069,2,1,1
20,4069,2,1,2
1,4072,1,1,1
2,4072,1,1,1
3,4072,2,1,2
4,4072,1,1,2
5,4072,1,1,1
7,4072,2,1,2
8,4072,1,1,2
9,4072,1,1,2
10,4072,1,1,2
11,4072,1,1,1
12,4072,1,1,2
13,4072,2,1,2
14,4072,1,1,2
15,4072,1,1,2
16,4072,1,1,1
17,4072,1,1,2
18,4072,1,1,2
19,4072,1,1,2
20,4072,1,1,2
21,4072,2,1,2
1,4075,1,1,2
2,4075,1,1,2
3,4075,1,1,2
4,4075,1,1,1
5,4075,1,1,2
6,4075,1,1,1
7,4075,1,1,2
8,4075,1,1,2
9,4075,1,1,1
10,4075,1,1,2
11,4075,1,1,2
12,4075,1,1,2
13,4075,1,1,2
14,4075,1,1,2
15,4075,1,1,2
16,4075,1,1,1
18,4075,1,1,1
19,4075,1,1,2
20,4075,1,1,1
22,4075,1,1,2
1,4079,1,1,1
2,4079,1,1,1
3,4079,1,1,1
4,4079,1,1,2
5,4079,1,1,1
6,4079,1,1,1
7,4079,1,1,1
8,4079,1,1,1
9,4079,1,1,1
10,4079,1,1,2
11,4079,1,1,1
12,4079,1,1,1
13,4079,1,1,1
14,4079,1,1,1
15,4079,1,1,2
16,4079,1,1,1
17,4079,1,1,2
18,4079,1,1,1
19,4079,1,1,1
20,4079,1,1,1
1,4081,1,1,1
2,4081,1,1,1
3,4081,1,1,1
4,4081,1,1,2
5,4081,1,1,1
6,4081,1,1,1
7,4081,1,1,1
8,4081,1,1,1
9,4081,1,1,1
10,4081,1,1,1
11,4081,1,1,1
12,4081,1,1,1
13,4081,1,1,1
14,4081,1,1,2
15,4081,1,1,1
16,4081,1,1,2
17,4081,2,2,1
18,4081,1,1,1
19,4081,1,1,1
20,4081,1,1,2
1,4084,2,2,1
2,4084,2,1,2
3,4084,1,1,1
4,4084,2,1,2
5,4084,2,2,2
6,4084,2,2,2
7,4084,2,2,2
8,4084,2,2,2
9,4084,2,2,1
10,4084,2,2,1
11,4084,1,1,1
12,4084,2,2,1
13,4084,2,2,1
14,4084,1,2,1
15,4084,2,2,2
16,4084,2,2,1
17,4084,2,2,2
18,4084,2,1,2
19,4084,2,1,2
20,4084,2,2,1
1,4089,2,1,1
2,4089,1,1,2
3,4089,1,2,2
4,4089,2,2,1
5,4089,1,1,1
6,4089,1,1,1
7,4089,1,1,1
8,4089,2,1,1
9,4089,1,1,1
10,4089,1,1,1
11,4089,2,1,2
12,4089,1,1,1
13,4089,1,1,1
14,4089,1,1,1
15,4089,1,1,2
16,4089,1,1,1
17,4089,1,1,2
18,4089,1,1,1
19,4089,1,1,1
20,4089,2,1,1
1,4092,1,1,1
2,4092,1,1,1
3,4092,1,1,2
4,4092,1,1,1
5,4092,1,1,2
6,4092,1,1,1
7,4092,1,1,1
8,4092,1,1,1
9,4092,1,1,2
10,4092,1,1,1
11,4092,1,1,1
12,4092,1,1,1
13,4092,1,1,1
14,4092,1,1,1
15,4092,1,1,1
16,4092,1,1,1
17,4092,1,1,2
18,4092,1,1,1
19,4092,1,1,1
20,4092,1,1,1
1,4095,1,1,2
2,4095,1,1,2
3,4095,1,1,2
4,4095,1,1,2
5,4095,1,1,1
6,4095,1,1,2
7,4095,1,1,2
8,4095,1,1,1
9,4095,1,1,1
10,4095,1,1,1
11,4095,1,1,1
12,4095,1,1,2
13,4095,1,1,2
14,4095,1,1,2
15,4095,1,1,2
16,4095,1,1,2
17,4095,1,1,2
18,4095,1,1,2
19,4095,1,1,2
20,4095,1,1,2
1,4099,1,1,2
2,4099,1,1,1
3,4099,1,1,2
4,4099,1,1,2
5,4099,1,1,2
6,4099,1,1,1
7,4099,1,1,1
8,4099,1,1,1
9,4099,1,1,2
10,4099,1,1,2
11,4099,1,1,1
12,4099,1,1,1
13,4099,1,1,1
14,4099,1,1,2
15,4099,1,1,2
16,4099,1,1,2
17,4099,1,1,2
18,4099,1,1,1
19,4099,1,1,1
20,4099,1,1,2
1,4102,2,2,1
2,4102,2,2,1
3,4102,1,2,2
4,4102,1,2,1
5,4102,2,2,2
6,4102,1,2,2
7,4102,2,2,1
8,4102,2,2,1
9,4102,2,2,1
10,4102,2,2,1
11,4102,2,2,1
12,4102,1,2,1
14,4102,2,2,1
15,4102,2,2,2
16,4102,2,2,1
17,4102,1,2,1
18,4102,2,2,2
19,4102,2,2,1
20,4102,2,2,2
21,4102,2,2,1
1,4105,2,1,2
2,4105,1,1,2
3,4105,2,2,1
4,4105,2,2,1
5,4105,2,2,1
6,4105,1,2,1
7,4105,2,2,2
8,4105,2,2,2
9,4105,2,2,1
10,4105,1,2,2
11,4105,2,2,1
13,4105,1,2,2
14,4105,2,1,1
16,4105,2,2,2
17,4105,2,2,2
18,4105,1,2,1
19,4105,2,2,2
20,4105,1,2,2
21,4105,1,1,1
22,4105,1,1,2
1,4109,2,2,1
2,4109,2,2,1
3,4109,2,2,1
4,4109,2,1,1
5,4109,2,2,1
6,4109,2,1,1
7,4109,2,2,2
8,4109,2,2,1
9,4109,2,2,1
10,4109,2,1,1
11,4109,2,2,2
12,4109,2,1,1
13,4109,2,2,1
14,4109,2,2,1
15,4109,2,2,1
16,4109,2,2,1
17,4109,2,2,2
18,4109,2,2,1
19,4109,1,2,1
20,4109,1,1,1
1,4112,2,2,1
2,4112,1,2,1
3,4112,1,2,1
4,4112,1,1,1
5,4112,1,2,2
6,4112,1,1,1
7,4112,1,1,2
8,4112,2,2,1
9,4112,1,1,2
10,4112,1,2,2
11,4112,1,2,2
12,4112,1,2,1
13,4112,1,2,2
14,4112,1,2,2
15,4112,1,1,1
16,4112,1,2,2
17,4112,1,2,2
18,4112,2,2,2
19,4112,1,1,1
20,4112,1,1,1
1,4115,2,2,1
2,4115,1,1,2
3,4115,1,1,2
4,4115,2,2,1
5,4115,1,1,2
6,4115,1,2,1
7,4115,1,1,2
8,4115,2,2,2
9,4115,1,2,1
10,4115,2,1,2
11,4115,1,1,2
12,4115,1,1,1
13,4115,1,2,2
14,4115,1,2,2
15,4115,1,1,1
16,4115,1,1,1
17,4115,1,2,1
18,4115,1,1,2
19,4115,1,1,1
20,4115,1,1,2
1,4119,1,2,2
2,4119,2,1,2
3,4119,1,2,2
4,4119,1,1,1
5,4119,1,1,2
6,4119,1,1,2
7,4119,1,1,2
8,4119,1,1,1
9,4119,1,1,2
10,4119,2,2,2
11,4119,2,2,1
12,4119,1,2,2
13,4119,1,1,2
14,4119,1,1,2
15,4119,1,1,1
16,4119,1,1,1
17,4119,1,2,1
18,4119,1,1,2
19,4119,1,1,2
20,4119,1,1,2
1,4122,2,2,1
2,4122,1,1,2
3,4122,2,2,2
4,4122,1,1,1
5,4122,1,1,1
6,4122,2,2,1
7,4122,1,1,2
8,4122,2,1,1
9,4122,1,1,2
10,4122,1,1,2
11,4122,1,1,2
12,4122,2,2,1
13,4122,2,2,2
14,4122,1,1,2
15,4122,2,1,1
16,4122,2,1,1
17,4122,1,1,2
18,4122,2,1,2
19,4122,1,2,2
20,4122,1,1,2
1,4125,1,2,2
2,4125,1,1,2
3,4125,1,2,2
4,4125,1,2,1
5,4125,1,2,2
6,4125,1,1,1
7,4125,2,2,1
8,4125,1,2,1
9,4125,1,2,2
10,4125,1,1,2
11,4125,1,2,1
12,4125,1,1,2
13,4125,1,1,2
14,4125,1,1,1
15,4125,2,2,2
16,4125,1,1,2
17,4125,1,1,1
18,4125,2,2,1
19,4125,1,1,2
20,4125,1,1,1
1,4129,1,1,1
2,4129,1,1,2
3,4129,1,1,1
4,4129,1,2,2
5,4129,1,2,2
6,4129,1,2,2
7,4129,1,2,1
8,4129,1,2,1
9,4129,1,2,1
10,4129,1,1,2
11,4129,1,2,2
12,4129,1,2,2
13,4129,1,2,2
14,4129,1,2,2
15,4129,1,1,1
16,4129,1,2,1
17,4129,1,1,2
18,4129,1,2,2
19,4129,1,2,2
20,4129,1,2,1
1,4132,1,1,2
2,4132,1,1,2
3,4132,1,1,1
4,4132,1,1,1
5,4132,1,1,2
6,4132,1,1,1
7,4132,1,1,1
8,4132,1,1,1
9,4132,1,1,1
10,4132,1,1,2
11,4132,1,1,1
12,4132,1,1,1
13,4132,1,1,2
14,4132,1,1,2
15,4132,2,1,1
16,4132,1,1,2
17,4132,1,1,2
18,4132,1,1,2
19,4132,1,1,2
20,4132,1,1,2
1,4134,1,2,2
2,4134,1,1,2
3,4134,2,1,1
4,4134,1,1,1
5,4134,1,1,1
6,4134,1,1,1
7,4134,1,1,1
8,4134,1,1,1
9,4134,1,1,1
10,4134,2,2,1
11,4134,1,1,1
12,4134,1,1,2
13,4134,1,1,1
14,4134,1,1,1
15,4134,1,1,1
16,4134,1,1,1
17,4134,1,1,1
18,4134,1,1,1
19,4134,2,2,2
20,4134,1,1,2
1,4139,2,2,2
2,4139,1,2,1
3,4139,1,2,1
4,4139,1,2,2
5,4139,1,2,2
6,4139,1,2,1
7,4139,1,2,1
8,4139,1,1,2
9,4139,2,2,1
10,4139,1,1,1
11,4139,1,2,1
12,4139,2,2,1
13,4139,1,1,1
14,4139,2,2,1
15,4139,1,2,1
16,4139,1,2,1
17,4139,1,2,1
18,4139,1,2,1
19,4139,2,2,1
20,4139,1,2,1
2,4142,2,2,2
3,4142,2,2,1
5,4142,2,2,1
6,4142,2,2,1
7,4142,2,2,1
8,4142,2,2,1
9,4142,2,2,1
10,4142,1,1,2
11,4142,2,2,1
12,4142,2,2,2
13,4142,2,2,2
14,4142,2,2,2
15,4142,2,2,2
16,4142,2,1,2
17,4142,2,2,1
18,4142,1,1,1
19,4142,2,2,2
20,4142,1,2,2
21,4142,2,2,2
22,4142,2,1,1
1,4145,2,1,2
2,4145,2,2,1
3,4145,2,2,2
4,4145,2,2,1
5,4145,2,2,2
6,4145,2,2,2
7,4145,2,2,1
8,4145,2,2,1
9,4145,2,2,2
10,4145,2,2,1
11,4145,2,1,2
12,4145,2,2,2
13,4145,2,2,2
14,4145,1,2,2
15,4145,2,1,2
16,4145,2,1,2
17,4145,2,2,2
18,4145,2,2,1
19,4145,2,1,2
20,4145,2,2,2
1,4149,1,1,1
2,4149,2,1,1
3,4149,1,1,1
5,4149,1,1,2
6,4149,2,1,1
7,4149,1,1,2
8,4149,1,1,1
9,4149,1,1,2
10,4149,1,1,1
11,4149,1,1,1
12,4149,2,1,1
13,4149,1,1,1
15,4149,1,1,1
16,4149,2,1,1
17,4149,1,1,2
18,4149,1,1,2
19,4149,1,1,1
20,4149,1,1,2
23,4149,1,1,2
24,4149,1,1,2
1,4152,1,1,1
2,4152,1,1,1
3,4152,1,1,1
4,4152,2,1,2
5,4152,1,1,2
6,4152,2,1,2
7,4152,1,1,2
8,4152,1,1,1
9,4152,1,1,2
10,4152,1,1,1
11,4152,2,1,2
12,4152,1,1,1
14,4152,2,1,2
15,4152,2,1,1
17,4152,1,1,1
18,4152,2,1,2
19,4152,1,1,1
20,4152,1,1,1
21,4152,1,1,2
23,4152,1,1,1
1,4155,1,1,1
2,4155,2,2,1
3,4155,2,2,1
4,4155,1,1,2
5,4155,2,2,1
6,4155,2,2,1
7,4155,1,1,1
8,4155,2,2,1
9,4155,1,1,1
10,4155,2,2,1
11,4155,1,2,1
12,4155,1,1,1
13,4155,2,2,1
14,4155,2,2,1
15,4155,1,1,1
16,4155,1,1,2
17,4155,2,2,1
18,4155,2,2,1
19,4155,1,1,1
20,4155,1,1,2
1,4159,2,2,1
2,4159,1,1,2
3,4159,2,2,2
5,4159,2,2,1
6,4159,2,1,1
7,4159,1,1,1
8,4159,1,1,1
9,4159,1,1,1
10,4159,2,2,1
11,4159,2,2,1
12,4159,2,2,1
13,4159,1,1,1
14,4159,2,2,1
15,4159,1,1,1
16,4159,2,2,1
17,4159,1,1,1
18,4159,2,2,1
19,4159,2,2,1
20,4159,2,2,1
21,4159,2,2,2
1,4162,2,2,2
2,4162,2,2,1
3,4162,1,2,1
4,4162,1,2,1
5,4162,2,2,1
6,4162,2,2,1
7,4162,2,2,1
8,4162,2,2,1
9,4162,2,2,1
10,4162,2,2,2
11,4162,2,2,1
12,4162,1,2,1
13,4162,2,2,2
14,4162,2,2,1
15,4162,2,2,1
16,4162,2,2,1
17,4162,2,2,2
18,4162,2,2,2
19,4162,2,2,1
20,4162,2,2,1
2,4165,2,2,1
3,4165,2,2,1
4,4165,2,2,2
5,4165,2,2,2
6,4165,2,2,1
7,4165,2,2,2
8,4165,2,2,1
9,4165,2,2,1
10,4165,2,2,2
11,4165,2,2,2
12,4165,2,2,1
13,4165,2,1,2
14,4165,2,2,2
15,4165,2,2,2
16,4165,2,2,1
17,4165,1,1,1
19,4165,2,2,1
20,4165,2,2,1
21,4165,2,2,2
22,4165,2,1,2
1,4169,2,2,1
2,4169,2,1,2
3,4169,2,2,2
4,4169,2,2,1
5,4169,2,2,1
6,4169,1,1,2
7,4169,1,2,2
8,4169,2,2,1
9,4169,2,2,2
10,4169,2,2,2
11,4169,2,2,1
12,4169,2,2,2
13,4169,2,2,1
14,4169,2,2,2
15,4169,2,2,2
16,4169,2,1,2
17,4169,2,2,1
18,4169,2,2,1
19,4169,2,2,1
20,4169,2,2,1
1,4172,1,2,2
2,4172,2,2,2
3,4172,2,2,1
4,4172,2,2,1
5,4172,2,2,1
6,4172,2,2,1
7,4172,2,2,1
8,4172,2,2,1
9,4172,2,2,1
10,4172,1,1,1
11,4172,2,2,1
12,4172,2,2,2
13,4172,2,2,2
14,4172,2,2,1
15,4172,2,2,2
16,4172,2,1,2
17,4172,2,2,1
18,4172,2,2,1
19,4172,2,2,1
20,4172,2,2,1
1,4175,2,2,1
2,4175,2,1,1
3,4175,2,1,2
4,4175,2,1,1
5,4175,1,1,2
6,4175,2,1,1
7,4175,2,2,2
8,4175,2,2,2
9,4175,2,1,1
10,4175,1,1,2
11,4175,2,1,2
12,4175,2,1,1
13,4175,2,2,1
14,4175,2,1,1
15,4175,2,1,1
16,4175,1,1,1
17,4175,2,1,1
18,4175,2,1,1
19,4175,1,1,2
20,4175,2,1,1
1,4179,2,1,2
2,4179,2,1,2
3,4179,2,2,1
4,4179,2,2,1
5,4179,1,2,1
6,4179,2,2,1
7,4179,2,1,2
8,4179,2,2,1
9,4179,2,2,1
10,4179,1,1,2
11,4179,2,2,1
12,4179,1,2,1
13,4179,2,2,1
14,4179,1,2,2
15,4179,2,1,1
16,4179,1,2,1
17,4179,2,2,1
18,4179,2,2,1
19,4179,2,2,2
20,4179,2,2,1
1,4182,2,2,1
2,4182,2,2,1
3,4182,2,2,1
4,4182,2,2,1
5,4182,2,2,2
6,4182,2,2,1
7,4182,2,1,2
8,4182,2,2,1
9,4182,1,1,2
10,4182,2,1,1
11,4182,2,1,2
12,4182,2,2,2
13,4182,1,1,2
14,4182,2,2,1
15,4182,1,2,1
16,4182,2,2,1
17,4182,2,2,1
18,4182,2,2,2
20,4182,2,2,1
21,4182,2,2,1
1,4185,2,2,1
2,4185,2,2,1
3,4185,2,2,2
4,4185,1,2,2
5,4185,2,2,1
6,4185,2,2,1
7,4185,2,2,1
8,4185,2,2,1
9,4185,2,2,1
10,4185,2,1,1
11,4185,2,2,1
12,4185,2,2,2
13,4185,2,2,2
14,4185,2,2,1
15,4185,2,2,1
16,4185,1,2,1
17,4185,2,2,1
18,4185,2,2,1
19,4185,2,2,2
20,4185,2,2,1
1,4189,1,1,1
2,4189,1,2,2
3,4189,1,1,1
4,4189,1,2,1
5,4189,1,1,2
6,4189,1,2,1
7,4189,1,1,1
8,4189,2,2,1
9,4189,2,2,1
10,4189,2,2,1
11,4189,1,2,1
12,4189,1,2,2
13,4189,2,2,1
14,4189,2,2,2
15,4189,1,1,1
16,4189,2,2,1
17,4189,1,2,2
18,4189,1,1,2
19,4189,1,1,1
20,4189,2,2,1
1,4192,1,2,2
2,4192,1,2,2
3,4192,1,2,1
4,4192,1,2,1
5,4192,1,2,2
6,4192,2,2,2
7,4192,1,2,1
8,4192,1,2,2
9,4192,1,2,2
10,4192,1,2,1
11,4192,1,1,2
12,4192,1,2,2
13,4192,1,1,2
14,4192,1,2,1
15,4192,1,2,1
16,4192,1,2,1
17,4192,1,1,1
18,4192,1,1,1
19,4192,1,2,1
20,4192,2,2,1
1,4195,2,2,2
2,4195,2,2,1
3,4195,2,1,1
4,4195,2,1,2
5,4195,2,1,2
6,4195,2,1,2
7,4195,2,1,2
8,4195,2,2,1
9,4195,2,2,1
10,4195,2,2,1
11,4195,2,1,1
12,4195,2,1,2
13,4195,2,1,2
14,4195,2,1,2
15,4195,2,2,1
16,4195,2,2,1
17,4195,2,1,1
18,4195,2,1,2
19,4195,2,1,2
24,4195,2,2,1
1,4199,1,2,1
2,4199,1,1,1
3,4199,1,2,2
4,4199,1,2,2
5,4199,1,1,2
6,4199,1,2,2
7,4199,1,1,1
8,4199,1,1,1
9,4199,1,1,1
10,4199,1,1,2
11,4199,1,1,2
12,4199,1,1,2
13,4199,1,2,1
14,4199,1,2,1
15,4199,2,2,1
16,4199,1,2,1
17,4199,1,2,1
