nh,clust,Amount_withdrawn_from_savings
12,4509,150000
20,4509,0
1,4512,0
5,4512,0
12,4515,2e+06
1,4519,2e+05
11,4519,7e+05
11,4519,1356000
16,4519,0
1,4522,80000
4,4522,0
7,4522,250000
9,4522,3e+05
10,4522,0
11,4522,1e+05
11,4522,5e+05
13,4522,0
13,4522,0
16,4522,0
19,4522,0
20,4522,0
3,4525,0
5,4525,20000
8,4525,0
12,4525,50000
14,4525,10000
15,4525,2e+05
17,4525,55000
1,4529,0
7,4529,0
8,4529,0
11,4529,0
20,4529,0
10,4532,8e+05
18,4532,0
19,4532,0
1,4535,1200000
1,4535,4e+05
2,4535,0
5,4535,1.74980057982641e+100
6,4535,0
8,4535,0
11,4535,0
11,4535,0
18,4535,0
19,4535,20000
20,4535,0
1,4539,180000
2,4539,0
3,4539,120000
4,4539,2e+05
4,4539,5e+05
6,4539,350000
6,4539,80000
8,4539,5e+05
9,4539,3e+05
10,4539,120000
10,4539,240000
12,4539,250000
13,4539,150000
15,4539,2e+05
16,4539,850000
16,4539,3e+05
19,4539,0
19,4539,8e+05
19,4539,350000
20,4539,3e+05
2,4542,1e+05
6,4542,0
7,4542,3e+05
13,4542,0
3,4545,44000
7,4545,0
13,4545,0
14,4545,1e+06
11,4549,3e+05
3,4552,1e+05
6,4552,40000
9,4552,0
9,4552,58000
12,4552,130000
12,4552,80000
16,4552,0
16,4552,0
18,4552,0
19,4552,650000
19,4552,3e+05
1,4555,0
9,4555,1.74980057982641e+100
18,4555,0
20,4555,7e+05
1,4559,1800000
2,4559,85000
4,4559,1.74980057982641e+100
5,4559,1.74980057982641e+100
7,4559,1500000
10,4559,0
11,4559,1.74980057982641e+100
15,4559,0
6,4562,1.74980057982641e+100
11,4562,0
16,4562,0
1,4565,50000
5,4565,0
7,4565,0
12,4565,150000
13,4565,0
14,4565,0
15,4565,1.74980057982641e+100
16,4565,1.74980057982641e+100
19,4565,1.74980057982641e+100
20,4565,0
20,4565,0
21,4565,0
7,4569,0
12,4569,0
4,4572,90000
4,4572,3e+05
8,4572,0
9,4572,250000
10,4572,240000
11,4572,150000
12,4572,0
15,4572,90000
12,4575,0
14,4575,0
15,4575,0
15,4575,8e+05
19,4575,50000
1,4579,0
6,4579,60000
17,4579,0
22,4579,0
22,4579,0
1,4582,0
7,4582,30000
9,4582,0
10,4582,0
11,4582,0
14,4582,0
15,4582,0
20,4582,1.4e+07
1,4585,0
3,4585,80000
11,4585,0
14,4585,0
18,4585,0
9,4589,0
12,4589,3e+05
14,4589,15000
21,4589,3e+05
21,4589,60000
12,4592,0
15,4592,0
17,4592,360000
18,4592,0
19,4592,0
4,4595,30000
5,4595,70000
8,4595,1e+06
8,4595,0
9,4595,790000
12,4595,40000
15,4595,40000
16,4595,4e+05
19,4595,0
19,4595,0
20,4595,0
1,4599,0
6,4599,0
6,4599,0
11,4599,5e+05
11,4599,0
12,4599,4e+05
15,4599,0
16,4599,0
19,4599,50000
20,4599,0
20,4599,0
20,4599,0
3,4602,0
5,4602,15000
9,4602,1e+05
8,4605,0
9,4605,3200000
10,4605,80000
16,4605,55000
16,4605,0
18,4605,1e+05
20,4605,50000
20,4605,1e+05
23,4605,0
25,4605,3e+05
1,4609,0
14,4609,30000
2,4612,0
7,4612,50000
13,4612,650000
16,4612,0
17,4612,2e+05
22,4612,2e+06
2,4615,0
3,4615,5e+05
4,4615,0
4,4615,6e+05
8,4615,0
14,4615,9e+05
14,4615,0
14,4615,0
14,4615,0
14,4615,650000
14,4615,50000
15,4615,40000
20,4615,0
22,4615,140000
23,4615,0
11,4619,5e+05
14,4619,35000
1,4622,8e+05
3,4622,5e+05
4,4622,0
5,4622,5500000
7,4622,280000
7,4622,75000
10,4622,2e+05
11,4622,220000
14,4622,0
14,4622,450000
15,4622,0
17,4622,0
18,4622,1500000
6,4625,120000
7,4625,0
16,4625,50000
17,4625,104000
19,4625,0
6,4629,3e+05
9,4629,180000
13,4629,0
15,4629,90000
16,4629,180000
18,4629,0
18,4629,0
19,4629,0
21,4629,0
25,4629,0
1,4632,210000
7,4632,360000
13,4632,0
16,4632,5200000
16,4632,0
3,4635,162000
9,4635,30000
11,4635,250000
13,4635,3345000
20,4635,708000
1,4639,150000
10,4639,2e+05
11,4639,0
12,4639,0
23,4639,0
2,4642,2200000
4,4642,0
7,4642,1445800
12,4642,0
12,4642,0
4,4645,0
4,4645,5600000
7,4645,0
8,4645,0
8,4645,0
9,4645,2e+05
13,4645,0
13,4645,0
15,4645,0
19,4645,0
20,4645,0
24,4645,0
25,4645,3500000
3,4649,2e+06
6,4649,1e+05
6,4649,4e+05
7,4649,350000
10,4649,8e+05
15,4649,6e+05
15,4649,80000
16,4649,0
3,4652,550000
20,4652,450000
21,4652,1.74980057982641e+100
1,4655,0
10,4655,68000
14,4655,160000
17,4655,5e+05
20,4655,80000
1,4659,1.74980057982641e+100
3,4659,1.74980057982641e+100
5,4659,0
6,4659,3e+05
7,4659,5e+05
8,4659,360000
10,4659,5e+06
12,4659,35000
15,4659,2300000
18,4659,6e+05
20,4659,60000
1,4662,1.74980057982641e+100
2,4662,0
5,4662,1.74980057982641e+100
18,4662,0
19,4662,720000
21,4662,1.74980057982641e+100
5,4665,1e+05
6,4665,1.74980057982641e+100
7,4665,0
8,4665,66000
10,4665,0
10,4665,2e+05
12,4665,50000
13,4665,0
17,4665,5200000
14,4669,4e+05
16,4669,65000
17,4669,1e+05
21,4669,150000
2,4672,40000
3,4672,0
3,4672,0
6,4672,0
7,4672,0
11,4672,0
12,4672,11000
12,4672,180000
13,4672,4e+05
13,4672,50000
13,4672,0
14,4672,1e+05
14,4672,45000
16,4672,470000
17,4672,0
19,4672,0
19,4672,0
20,4672,5e+05
6,4675,0
7,4675,820000
7,4675,180000
8,4675,0
9,4675,120000
10,4675,0
13,4675,150000
14,4675,160000
14,4675,0
15,4675,470000
4,4679,2e+05
5,4679,120000
6,4679,1e+05
9,4679,0
11,4679,8e+05
12,4679,140000
1,4682,943440
5,4682,6e+05
8,4682,15000
8,4682,1e+06
9,4682,3e+05
11,4682,2e+05
16,4682,0
18,4682,345000
2,4685,0
3,4685,4e+05
5,4685,1e+06
6,4685,350000
9,4685,0
13,4685,1e+06
14,4685,150000
14,4685,20000
15,4685,4e+05
17,4685,20000
23,4685,5e+05
24,4685,2e+05
1,4689,0
4,4689,20000
6,4689,2e+05
7,4689,220000
9,4689,5e+05
10,4689,360000
11,4689,0
12,4689,0
19,4689,1200000
20,4689,875000
21,4689,250000
6,4692,0
11,4692,0
13,4692,355000
18,4692,1e+05
20,4692,0
1,4695,0
9,4695,1e+06
10,4695,0
13,4695,2e+05
22,4695,0
1,4699,70000
2,4699,0
3,4699,0
4,4699,50000
5,4699,250000
7,4699,110000
7,4699,0
8,4699,2e+06
8,4699,0
8,4699,0
10,4699,60000
11,4699,3470000
12,4699,1500000
13,4699,1500000
15,4699,120000
16,4699,4050000
17,4699,3e+05
17,4699,1e+05
18,4699,1450000
19,4699,3500000
22,4699,1800000
8,4702,0
10,4702,0
12,4702,70000
15,4702,0
25,4702,240000
1,4705,4e+05
2,4705,6e+05
5,4705,1e+06
9,4705,0
13,4705,2e+06
16,4705,730000
17,4705,2450000
20,4705,1200000
3,4709,5e+05
4,4709,1800000
4,4709,3e+05
5,4709,4e+05
6,4709,5e+05
7,4709,1200000
8,4709,0
8,4709,0
9,4709,4e+05
11,4709,0
12,4709,7e+06
12,4709,250000
14,4709,0
16,4709,0
19,4709,44000
2,4712,77000
3,4712,0
6,4712,80000
8,4712,35000
10,4712,80000
14,4712,0
16,4712,80000
19,4712,250000
19,4712,70000
20,4712,120000
3,4715,6e+05
3,4715,3e+05
7,4715,5e+05
8,4715,0
10,4715,5e+05
12,4715,0
14,4715,0
1,4719,0
2,4719,360000
4,4719,3e+06
6,4719,660000
7,4719,660000
8,4719,656000
8,4719,190000
9,4719,326000
13,4719,605000
13,4719,2e+06
14,4719,660000
15,4719,0
16,4719,660000
17,4719,0
20,4719,0
22,4719,2400000
2,4722,87000
2,4722,50000
2,4722,80000
2,4722,35000
3,4722,0
3,4722,0
12,4722,660000
17,4722,0
18,4722,4e+05
21,4722,0
1,4725,0
3,4725,0
4,4725,210000
6,4725,656000
12,4725,0
13,4725,0
16,4725,0
17,4725,3100000
19,4725,1e+05
19,4725,0
24,4725,5e+05
1,4729,0
1,4729,0
3,4729,80000
10,4729,0
11,4729,1580000
13,4729,360000
14,4729,3e+05
15,4729,0
16,4729,180000
20,4729,5500000
21,4729,0
24,4729,150000
1,4732,2e+05
2,4732,0
3,4732,60000
5,4732,0
7,4732,0
9,4732,5e+05
10,4732,3e+05
11,4732,0
13,4732,140000
14,4732,42000
17,4732,0
18,4732,0
19,4732,0
20,4732,0
5,4735,0
9,4735,0
10,4735,0
14,4735,0
15,4735,1e+05
16,4735,0
18,4735,0
1,4739,0
4,4739,0
7,4739,0
9,4739,0
13,4739,0
14,4739,0
15,4739,0
17,4739,0
19,4739,0
20,4739,0
15,4742,2400000
1,4745,0
2,4745,0
6,4745,0
9,4745,3e+05
15,4745,0
19,4745,120000
20,4745,0
21,4745,0
1,4750,750000
1,4750,2684000
3,4750,2e+05
3,4750,90000
6,4750,255000
11,4750,1610
14,4750,5e+05
17,4750,0
18,4750,1e+06
20,4750,1e+05
22,4750,0
22,4750,10000
24,4750,1e+05
25,4750,0
25,4750,0
4,4752,0
6,4752,2e+05
9,4752,590000
9,4752,690000
12,4752,580000
13,4752,290000
15,4752,550000
18,4752,540000
18,4752,70000
1,4755,0
2,4755,205000
5,4755,2e+05
6,4755,2e+05
8,4755,0
8,4755,0
8,4755,0
9,4755,9e+05
9,4755,0
11,4755,0
12,4755,5e+05
12,4755,0
14,4755,4e+05
14,4755,150000
15,4755,0
16,4755,1e+05
16,4755,3e+05
16,4755,30000
17,4755,3e+05
17,4755,4e+05
18,4755,6e+05
18,4755,640000
1,4759,1.74980057982641e+100
3,4759,0
5,4759,0
6,4759,0
9,4762,0
16,4762,0
17,4762,0
18,4762,1.74980057982641e+100
1,4765,78000
5,4765,30000
6,4765,55000
7,4765,1.74980057982641e+100
8,4765,0
9,4765,0
10,4765,0
12,4765,0
12,4765,0
14,4765,1e+05
15,4765,120000
16,4765,0
21,4765,0
22,4765,21000
1,4769,6e+05
2,4769,1250000
3,4769,7500000
4,4769,1200000
12,4769,2228000
14,4769,2.9e+07
17,4769,6e+05
19,4769,7e+05
1,4772,30000
4,4772,64000
5,4772,25000
6,4772,30000
7,4772,6000
8,4772,68000
9,4772,3e+05
10,4772,50000
12,4772,0
13,4772,68000
18,4772,60000
19,4772,0
19,4772,0
20,4772,50000
20,4772,0
3,4779,3e+05
8,4779,250000
14,4779,25000
16,4779,1e+05
17,4779,30000
19,4779,20000
19,4779,60000
4,4782,1e+05
4,4782,7e+05
10,4782,5000
11,4782,0
14,4782,0
17,4782,0
4,4785,20000
5,4785,240000
6,4785,0
6,4785,0
13,4785,0
19,4785,0
23,4785,0
1,4790,0
3,4790,1.74980057982641e+100
3,4790,1.74980057982641e+100
3,4790,1.74980057982641e+100
3,4790,1.74980057982641e+100
3,4790,1.74980057982641e+100
3,4790,1.74980057982641e+100
8,4790,1.74980057982641e+100
8,4790,1.74980057982641e+100
8,4790,1.74980057982641e+100
8,4790,1.74980057982641e+100
8,4790,1.74980057982641e+100
8,4790,1.74980057982641e+100
9,4790,1.74980057982641e+100
9,4790,1.74980057982641e+100
9,4790,1.74980057982641e+100
9,4790,1.74980057982641e+100
9,4790,1.74980057982641e+100
9,4790,1.74980057982641e+100
10,4790,1.74980057982641e+100
10,4790,1.74980057982641e+100
10,4790,1.74980057982641e+100
10,4790,1.74980057982641e+100
10,4790,1.74980057982641e+100
10,4790,1.74980057982641e+100
11,4790,1.74980057982641e+100
11,4790,1.74980057982641e+100
11,4790,1.74980057982641e+100
11,4790,1.74980057982641e+100
11,4790,1.74980057982641e+100
11,4790,1.74980057982641e+100
12,4790,2e+05
14,4790,50000
16,4790,0
17,4790,0
18,4790,0
19,4790,1.74980057982641e+100
19,4790,1.74980057982641e+100
19,4790,1.74980057982641e+100
19,4790,1.74980057982641e+100
19,4790,1.74980057982641e+100
19,4790,1.74980057982641e+100
20,4790,1.74980057982641e+100
20,4790,1.74980057982641e+100
20,4790,1.74980057982641e+100
20,4790,1.74980057982641e+100
20,4790,1.74980057982641e+100
20,4790,1.74980057982641e+100
21,4790,1.74980057982641e+100
21,4790,1.74980057982641e+100
21,4790,1.74980057982641e+100
21,4790,1.74980057982641e+100
21,4790,1.74980057982641e+100
21,4790,1.74980057982641e+100
22,4790,1.74980057982641e+100
22,4790,1.74980057982641e+100
22,4790,1.74980057982641e+100
22,4790,1.74980057982641e+100
22,4790,1.74980057982641e+100
22,4790,1.74980057982641e+100
23,4790,1.74980057982641e+100
23,4790,1.74980057982641e+100
23,4790,1.74980057982641e+100
23,4790,1.74980057982641e+100
23,4790,1.74980057982641e+100
23,4790,1.74980057982641e+100
24,4790,1.74980057982641e+100
24,4790,1.74980057982641e+100
24,4790,1.74980057982641e+100
24,4790,1.74980057982641e+100
24,4790,1.74980057982641e+100
24,4790,1.74980057982641e+100
25,4790,1.74980057982641e+100
25,4790,1.74980057982641e+100
25,4790,1.74980057982641e+100
1,4792,1.74980057982641e+100
1,4792,1.74980057982641e+100
1,4792,1.74980057982641e+100
1,4792,1.74980057982641e+100
1,4792,1.74980057982641e+100
1,4792,1.74980057982641e+100
4,4792,1.74980057982641e+100
6,4792,1e+05
6,4792,0
9,4792,1.74980057982641e+100
9,4792,1.74980057982641e+100
9,4792,1.74980057982641e+100
9,4792,1.74980057982641e+100
9,4792,1.74980057982641e+100
9,4792,1.74980057982641e+100
10,4792,1.74980057982641e+100
10,4792,1.74980057982641e+100
10,4792,1.74980057982641e+100
10,4792,1.74980057982641e+100
10,4792,1.74980057982641e+100
10,4792,1.74980057982641e+100
11,4792,1.74980057982641e+100
11,4792,1.74980057982641e+100
11,4792,1.74980057982641e+100
11,4792,1.74980057982641e+100
11,4792,1.74980057982641e+100
11,4792,1.74980057982641e+100
13,4792,0
13,4792,1.74980057982641e+100
13,4792,1.74980057982641e+100
13,4792,1.74980057982641e+100
13,4792,1.74980057982641e+100
13,4792,1.74980057982641e+100
14,4792,1.74980057982641e+100
14,4792,1.74980057982641e+100
14,4792,1.74980057982641e+100
14,4792,1.74980057982641e+100
14,4792,1.74980057982641e+100
14,4792,1.74980057982641e+100
15,4792,1.74980057982641e+100
15,4792,1.74980057982641e+100
15,4792,1.74980057982641e+100
15,4792,1.74980057982641e+100
15,4792,1.74980057982641e+100
15,4792,1.74980057982641e+100
16,4792,1.74980057982641e+100
16,4792,1.74980057982641e+100
16,4792,1.74980057982641e+100
16,4792,1.74980057982641e+100
16,4792,1.74980057982641e+100
16,4792,1.74980057982641e+100
17,4792,2e+05
17,4792,1e+05
18,4792,1.74980057982641e+100
18,4792,1.74980057982641e+100
18,4792,1.74980057982641e+100
18,4792,1.74980057982641e+100
18,4792,1.74980057982641e+100
18,4792,1.74980057982641e+100
19,4792,1.74980057982641e+100
19,4792,1.74980057982641e+100
19,4792,1.74980057982641e+100
19,4792,1.74980057982641e+100
19,4792,1.74980057982641e+100
19,4792,1.74980057982641e+100
20,4792,80000
20,4792,20000
20,4792,1.74980057982641e+100
20,4792,1.74980057982641e+100
20,4792,1.74980057982641e+100
20,4792,1.74980057982641e+100
1,4795,0
9,4795,110000
10,4795,0
11,4795,50000
17,4795,120000
18,4795,60000
15,4799,0
17,4799,0
18,4799,90000
2,4802,1500000
16,4802,0
8,4805,240000
2,4809,0
15,4809,0
17,4809,28000
24,4809,20000
18,4812,8e+06
18,4812,580000
3,4815,0
4,4815,2e+05
4,4815,1e+05
5,4815,8e+05
17,4815,150000
17,4815,50000
19,4815,3e+05
19,4815,150000
20,4815,0
20,4815,0
10,4819,50000
12,4819,1200000
13,4819,0
18,4819,0
1,4822,156500
1,4822,1.74980057982641e+100
4,4822,130000
7,4822,0
9,4822,360000
10,4822,58000
12,4822,60000
17,4822,58000
5,4825,250000
5,4825,120000
7,4825,220000
7,4825,115000
13,4825,0
14,4825,85000
16,4825,0
17,4825,98000
18,4825,160000
19,4825,250000
19,4825,160000
4,4832,485000
8,4832,450000
13,4832,180000
17,4832,230000
8,4835,160000
15,4835,0
16,4835,4e+05
18,4835,5e+05
11,4842,120000
13,4842,1e+05
16,4842,130000
20,4842,45000
6,4845,50000
7,4845,30000
4,4849,0
1,4852,1.74980057982641e+100
2,4859,1.74980057982641e+100
17,4859,1.74980057982641e+100
1,4862,1.74980057982641e+100
1,4862,1.74980057982641e+100
1,4862,1.74980057982641e+100
1,4862,1.74980057982641e+100
1,4862,1.74980057982641e+100
1,4862,1.74980057982641e+100
2,4862,1.74980057982641e+100
2,4862,1.74980057982641e+100
2,4862,1.74980057982641e+100
2,4862,1.74980057982641e+100
2,4862,1.74980057982641e+100
2,4862,1.74980057982641e+100
3,4862,1.74980057982641e+100
3,4862,1.74980057982641e+100
3,4862,1.74980057982641e+100
3,4862,1.74980057982641e+100
3,4862,1.74980057982641e+100
3,4862,1.74980057982641e+100
4,4862,1.74980057982641e+100
4,4862,1.74980057982641e+100
4,4862,1.74980057982641e+100
4,4862,1.74980057982641e+100
4,4862,1.74980057982641e+100
4,4862,1.74980057982641e+100
5,4862,1.74980057982641e+100
5,4862,1.74980057982641e+100
5,4862,1.74980057982641e+100
5,4862,1.74980057982641e+100
5,4862,1.74980057982641e+100
5,4862,1.74980057982641e+100
6,4862,1.74980057982641e+100
6,4862,1.74980057982641e+100
6,4862,1.74980057982641e+100
6,4862,1.74980057982641e+100
6,4862,1.74980057982641e+100
6,4862,1.74980057982641e+100
7,4862,1.74980057982641e+100
7,4862,1.74980057982641e+100
7,4862,1.74980057982641e+100
7,4862,1.74980057982641e+100
7,4862,1.74980057982641e+100
7,4862,1.74980057982641e+100
8,4862,1.74980057982641e+100
8,4862,1.74980057982641e+100
8,4862,1.74980057982641e+100
8,4862,1.74980057982641e+100
8,4862,1.74980057982641e+100
8,4862,1.74980057982641e+100
9,4862,1.74980057982641e+100
9,4862,1.74980057982641e+100
9,4862,1.74980057982641e+100
9,4862,1.74980057982641e+100
9,4862,1.74980057982641e+100
9,4862,1.74980057982641e+100
10,4862,1.74980057982641e+100
10,4862,1.74980057982641e+100
10,4862,1.74980057982641e+100
10,4862,1.74980057982641e+100
10,4862,1.74980057982641e+100
10,4862,1.74980057982641e+100
11,4862,4e+05
11,4862,1.74980057982641e+100
11,4862,1.74980057982641e+100
11,4862,1.74980057982641e+100
11,4862,1.74980057982641e+100
11,4862,1.74980057982641e+100
12,4862,1.74980057982641e+100
12,4862,1.74980057982641e+100
12,4862,1.74980057982641e+100
12,4862,1.74980057982641e+100
12,4862,1.74980057982641e+100
12,4862,1.74980057982641e+100
13,4862,1.74980057982641e+100
13,4862,1.74980057982641e+100
13,4862,1.74980057982641e+100
13,4862,1.74980057982641e+100
13,4862,1.74980057982641e+100
13,4862,1.74980057982641e+100
14,4862,1.74980057982641e+100
14,4862,1.74980057982641e+100
14,4862,1.74980057982641e+100
14,4862,1.74980057982641e+100
14,4862,1.74980057982641e+100
14,4862,1.74980057982641e+100
15,4862,1.74980057982641e+100
15,4862,1.74980057982641e+100
15,4862,1.74980057982641e+100
15,4862,1.74980057982641e+100
15,4862,1.74980057982641e+100
15,4862,1.74980057982641e+100
16,4862,1.74980057982641e+100
16,4862,1.74980057982641e+100
16,4862,1.74980057982641e+100
16,4862,1.74980057982641e+100
16,4862,1.74980057982641e+100
16,4862,1.74980057982641e+100
17,4862,1.74980057982641e+100
17,4862,1.74980057982641e+100
17,4862,1.74980057982641e+100
17,4862,1.74980057982641e+100
17,4862,1.74980057982641e+100
17,4862,1.74980057982641e+100
18,4862,1.74980057982641e+100
18,4862,1.74980057982641e+100
18,4862,1.74980057982641e+100
18,4862,1.74980057982641e+100
18,4862,1.74980057982641e+100
18,4862,1.74980057982641e+100
19,4862,1.74980057982641e+100
19,4862,1.74980057982641e+100
19,4862,1.74980057982641e+100
19,4862,1.74980057982641e+100
19,4862,1.74980057982641e+100
19,4862,1.74980057982641e+100
20,4862,1.74980057982641e+100
20,4862,1.74980057982641e+100
20,4862,1.74980057982641e+100
20,4862,1.74980057982641e+100
20,4862,1.74980057982641e+100
20,4862,1.74980057982641e+100
1,4865,1.74980057982641e+100
2,4865,1.74980057982641e+100
3,4865,1.74980057982641e+100
4,4865,1.74980057982641e+100
5,4865,1.74980057982641e+100
6,4865,1.74980057982641e+100
7,4865,1.74980057982641e+100
8,4865,1.74980057982641e+100
9,4865,1.74980057982641e+100
10,4865,1.74980057982641e+100
11,4865,1.74980057982641e+100
12,4865,1.74980057982641e+100
13,4865,1.74980057982641e+100
14,4865,1.74980057982641e+100
15,4865,1.74980057982641e+100
16,4865,1.74980057982641e+100
17,4865,1.74980057982641e+100
18,4865,0
19,4865,1.74980057982641e+100
20,4865,1.74980057982641e+100
